#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   8400      5.84e+00    4.42e+00      4.96e-01    3.83e-01      1.85e-01    1.38e-01    5.0e-04
   8500      7.20e+00    6.20e+00      6.80e-02    4.46e-01      2.28e-01    1.96e-01    5.0e-04
   8600      7.55e+00    5.29e+00      3.97e-01    1.41e-01      2.38e-01    1.68e-01    5.0e-04
   8700      6.26e+00    8.00e+00      3.96e-01    6.07e-02      1.98e-01    2.54e-01    5.0e-04
   8800      9.92e+00    4.66e+00      9.70e-02    8.79e-02      3.15e-01    1.48e-01    5.0e-04
   8900      4.14e+00    6.61e+00      6.04e-02    8.76e-02      1.31e-01    2.10e-01    5.0e-04
   9000      4.63e+00    7.71e+00      1.03e-01    2.43e-01      1.47e-01    2.44e-01    5.0e-04
   9100      1.14e+01    5.93e+00      5.63e-01    2.45e-01      3.61e-01    1.87e-01    5.0e-04
   9200      3.29e+00    9.05e+00      1.32e-01    3.43e-01      1.04e-01    2.87e-01    5.0e-04
   9300      8.48e+00    6.56e+00      2.66e-01    4.73e-01      2.69e-01    2.07e-01    5.0e-04
   9400      6.62e+00    8.02e+00      3.80e-01    3.76e-01      2.10e-01    2.54e-01    5.0e-04
   9500      4.62e+00    9.99e+00      2.62e-02    3.47e-01      1.47e-01    3.16e-01    5.0e-04
   9600      9.49e+00    6.42e+00      1.50e-01    3.10e-02      3.01e-01    2.04e-01    5.0e-04
   9700      9.63e+00    5.67e+00      9.43e-01    6.69e-02      3.05e-01    1.80e-01    5.0e-04
   9800      5.54e+00    5.07e+00      4.56e-02    1.64e-01      1.76e-01    1.61e-01    5.0e-04
   9900      4.46e+00    5.10e+00      1.10e-01    6.55e-01      1.41e-01    1.58e-01    5.0e-04
  10000      9.62e+00    5.38e+00      2.74e-01    1.14e-01      3.05e-01    1.71e-01    5.0e-04
  10100      7.19e+00    3.71e+00      1.63e-01    1.92e-01      2.28e-01    1.17e-01    5.0e-04
  10200      5.00e+00    7.31e+00      3.00e-01    2.10e-01      1.59e-01    2.32e-01    5.0e-04
  10300      6.26e+00    4.24e+00      1.46e-02    1.15e-01      1.99e-01    1.35e-01    5.0e-04
  10400      4.40e+00    5.52e+00      7.24e-02    1.78e-02      1.40e-01    1.76e-01    5.0e-04
  10500      1.00e+01    4.83e+00      9.93e-01    5.35e-01      3.15e-01    1.52e-01    5.0e-04
  10600      5.49e+00    3.77e+00      1.66e-01    9.76e-02      1.74e-01    1.20e-01    5.0e-04
  10700      1.16e+01    4.40e+00      1.30e-01    1.89e-01      3.70e-01    1.39e-01    5.0e-04
  10800      1.98e+01    7.72e+00      1.72e-02    3.81e-01      6.29e-01    2.45e-01    5.0e-04
  10900      7.29e+00    7.32e+00      4.83e-02    2.81e-01      2.32e-01    2.32e-01    5.0e-04
  11000      4.06e+00    6.00e+00      2.69e-01    4.66e-02      1.29e-01    1.90e-01    5.0e-04
  11100      8.00e+00    3.21e+00      1.43e-01    4.36e-02      2.54e-01    1.02e-01    5.0e-04
  11200      5.23e+00    6.12e+00      1.58e-01    3.24e-01      1.66e-01    1.94e-01    5.0e-04
  11300      6.01e+00    5.69e+00      7.36e-02    9.01e-02      1.91e-01    1.81e-01    5.0e-04
  11400      1.05e+01    5.39e+00      1.61e-02    8.31e-02      3.32e-01    1.71e-01    5.0e-04
  11500      6.87e+00    8.39e+00      1.60e-01    2.88e-01      2.18e-01    2.66e-01    5.0e-04
  11600      4.17e+00    4.49e+00      3.34e-02    1.86e-01      1.32e-01    1.42e-01    5.0e-04
  11700      3.25e+00    6.25e+00      3.12e-01    3.93e-01      1.02e-01    1.98e-01    5.0e-04
  11800      1.55e+01    8.80e+00      5.40e-01    3.26e-01      4.94e-01    2.79e-01    5.0e-04
  11900      4.78e+00    5.82e+00      5.17e-01    6.80e-02      1.51e-01    1.85e-01    5.0e-04
  12000      3.57e+00    1.02e+01      4.70e-02    1.99e-01      1.13e-01    3.24e-01    5.0e-04
  12100      4.66e+00    4.91e+00      2.69e-01    1.72e-01      1.47e-01    1.56e-01    5.0e-04
  12200      3.21e+00    9.57e+00      1.15e-01    3.57e-01      1.02e-01    3.04e-01    5.0e-04
  12300      7.04e+00    6.22e+00      2.57e-03    6.37e-01      2.24e-01    1.96e-01    5.0e-04
  12400      2.56e+00    5.49e+00      7.74e-01    5.54e-01      7.83e-02    1.73e-01    5.0e-04
  12500      8.84e+00    9.20e+00      4.64e-01    3.89e-01      2.80e-01    2.92e-01    5.0e-04
  12600      4.45e+00    7.31e+00      5.30e-02    2.51e-01      1.41e-01    2.32e-01    5.0e-04
  12700      2.80e+00    9.56e+00      3.90e-02    1.24e-01      8.90e-02    3.04e-01    5.0e-04
  12800      8.87e+00    9.98e+00      1.18e-01    2.66e-01      2.82e-01    3.17e-01    5.0e-04
  12900      8.47e+00    9.14e+00      1.41e-02    3.52e-01      2.69e-01    2.90e-01    5.0e-04
  13000      8.98e+00    8.45e+00      3.04e-01    5.10e-02      2.85e-01    2.68e-01    5.0e-04
  13100      7.84e+00    6.11e+00      1.59e-01    9.17e-02      2.49e-01    1.94e-01    5.0e-04
  13200      6.23e+00    5.64e+00      1.69e-01    1.12e-01      1.98e-01    1.79e-01    5.0e-04
  13300      3.69e+00    1.06e+01      1.72e-02    4.73e-01      1.17e-01    3.36e-01    5.0e-04
  13400      5.99e+00    7.37e+00      3.09e-02    1.05e+00      1.90e-01    2.33e-01    5.0e-04
  13500      6.83e+00    4.21e+00      8.88e-02    1.44e-01      2.17e-01    1.34e-01    5.0e-04
  13600      5.25e+00    3.82e+00      1.15e-01    1.47e-01      1.67e-01    1.21e-01    5.0e-04
  13700      4.68e+00    5.58e+00      1.26e-01    7.42e-02      1.48e-01    1.77e-01    5.0e-04
  13800      5.45e+00    4.30e+00      1.72e-01    1.61e-01      1.73e-01    1.36e-01    5.0e-04
  13900      6.36e+00    8.71e+00      1.95e-01    7.13e-01      2.02e-01    2.76e-01    5.0e-04
  14000      5.59e+00    8.01e+00      1.25e-01    2.24e-01      1.78e-01    2.54e-01    5.0e-04
  14100      1.07e+01    1.08e+01      3.47e-01    7.11e-01      3.39e-01    3.42e-01    5.0e-04
  14200      2.05e+00    4.79e+00      9.09e-02    4.00e-01      6.50e-02    1.51e-01    5.0e-04
