#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
5910500      1.35e-01    2.59e-01      7.27e-03    9.31e-03      5.35e-02    1.13e-01    1.8e-06
5910600      3.41e-01    2.37e-01      2.50e-02    5.29e-03      5.81e-02    1.09e-01    1.8e-06
5910700      1.29e-01    4.57e-01      2.33e-04    1.10e-02      6.06e-02    2.07e-01    1.8e-06
5910800      1.88e-01    1.55e-01      1.47e-04    7.06e-03      8.88e-02    6.92e-02    1.8e-06
5910900      2.93e-01    1.74e-01      3.20e-03    4.34e-03      1.37e-01    8.14e-02    1.8e-06
5911000      1.38e-01    2.00e-01      6.17e-03    7.50e-03      6.14e-02    8.50e-02    1.8e-06
5911100      2.42e-01    2.93e-01      7.36e-03    9.12e-03      1.11e-01    1.36e-01    1.8e-06
5911200      1.63e-01    2.41e-01      4.79e-04    2.95e-03      7.69e-02    1.13e-01    1.8e-06
5911300      3.27e-01    3.07e-01      2.25e-02    2.67e-03      7.45e-02    1.44e-01    1.8e-06
5911400      2.34e-01    4.85e-01      3.31e-03    3.29e-02      1.10e-01    8.26e-02    1.8e-06
5911500      1.83e-01    3.73e-01      2.40e-03    2.57e-02      8.51e-02    1.51e-01    1.8e-06
5911600      2.36e-01    2.54e-01      5.33e-03    6.81e-03      1.09e-01    1.18e-01    1.8e-06
5911700      1.30e-01    1.78e-01      6.98e-03    8.52e-03      5.68e-02    7.92e-02    1.8e-06
5911800      2.72e-01    2.27e-01      4.09e-03    4.65e-03      1.28e-01    1.06e-01    1.8e-06
5911900      1.68e-01    1.77e-01      5.75e-03    4.26e-03      7.12e-02    8.24e-02    1.8e-06
5912000      1.86e-01    1.54e-01      1.58e-02    3.21e-03      7.09e-02    7.16e-02    1.8e-06
5912100      2.20e-01    1.90e-01      1.03e-03    1.34e-03      1.04e-01    8.91e-02    1.8e-06
5912200      1.75e-01    1.70e-01      4.52e-03    2.07e-03      7.93e-02    7.92e-02    1.8e-06
5912300      1.88e-01    3.89e-01      3.61e-03    1.02e-02      8.65e-02    1.77e-01    1.8e-06
5912400      2.56e-01    2.94e-01      2.95e-03    1.06e-02      1.20e-01    1.33e-01    1.8e-06
5912500      1.99e-01    1.84e-01      2.06e-03    3.21e-03      9.34e-02    8.62e-02    1.8e-06
5912600      4.48e-01    1.67e-01      1.19e-02    4.09e-03      1.99e-01    7.74e-02    1.8e-06
5912700      2.64e-01    3.44e-01      7.63e-03    2.48e-02      1.20e-01    1.37e-01    1.8e-06
5912800      3.15e-01    3.78e-01      2.85e-03    1.88e-02      1.48e-01    1.57e-01    1.8e-06
5912900      2.76e-01    1.63e-01      4.47e-03    6.61e-03      1.30e-01    7.00e-02    1.8e-06
5913000      2.07e-01    1.37e-01      3.82e-03    3.40e-03      9.65e-02    6.23e-02    1.8e-06
5913100      3.11e-01    3.32e-01      1.14e-02    6.61e-03      1.40e-01    1.54e-01    1.8e-06
5913200      4.88e-01    1.96e-01      2.25e-03    3.75e-03      2.30e-01    9.06e-02    1.8e-06
5913300      3.27e-01    1.89e-01      4.82e-03    5.70e-03      1.53e-01    8.71e-02    1.8e-06
5913400      3.73e-01    3.15e-01      9.56e-04    2.08e-03      1.76e-01    1.48e-01    1.8e-06
5913500      1.77e-01    1.64e-01      5.52e-03    3.74e-03      8.24e-02    7.64e-02    1.8e-06
5913600      1.49e-01    1.64e-01      1.32e-03    3.84e-03      7.00e-02    7.62e-02    1.8e-06
5913700      1.37e-01    1.80e-01      6.88e-04    2.87e-03      6.45e-02    8.34e-02    1.8e-06
5913800      2.92e-01    2.30e-01      7.40e-03    3.21e-03      1.35e-01    1.07e-01    1.8e-06
5913900      1.49e-01    1.70e-01      4.19e-03    6.34e-03      6.93e-02    7.62e-02    1.8e-06
5914000      3.88e-01    1.96e-01      7.27e-03    1.22e-03      1.81e-01    9.18e-02    1.8e-06
5914100      1.29e-01    2.02e-01      2.31e-03    4.38e-03      6.01e-02    9.39e-02    1.8e-06
5914200      3.12e-01    3.03e-01      4.12e-02    2.05e-02      1.22e-01    1.27e-01    1.8e-06
5914300      1.81e-01    1.58e-01      1.52e-02    8.62e-03      6.95e-02    7.05e-02    1.8e-06
5914400      3.12e-01    1.56e-01      3.68e-04    8.40e-03      1.47e-01    7.06e-02    1.8e-06
5914500      2.26e-01    2.33e-01      1.27e-02    1.12e-02      8.64e-02    1.04e-01    1.8e-06
5914600      1.96e-01    2.28e-01      5.14e-03    1.07e-02      9.20e-02    1.04e-01    1.8e-06
5914700      2.73e-01    2.80e-01      1.83e-03    4.28e-03      1.29e-01    1.31e-01    1.8e-06
5914800      1.48e-01    2.24e-01      7.17e-04    3.20e-03      6.96e-02    1.04e-01    1.8e-06
5914900      3.67e-01    2.06e-01      2.81e-02    6.96e-03      5.15e-02    9.27e-02    1.8e-06
5915000      1.76e-01    1.54e-01      8.92e-03    9.60e-04      7.18e-02    7.26e-02    1.7e-06
5915100      1.06e-01    1.81e-01      6.44e-03    2.00e-03      4.80e-02    8.48e-02    1.7e-06
5915200      1.48e-01    2.49e-01      1.07e-04    1.87e-02      7.00e-02    1.05e-01    1.7e-06
5915300      1.50e-01    2.79e-01      2.59e-03    1.15e-02      7.02e-02    1.30e-01    1.7e-06
5915400      4.04e-01    2.15e-01      4.83e-04    9.20e-03      1.91e-01    9.80e-02    1.7e-06
5915500      2.01e-01    3.00e-01      6.02e-03    1.83e-02      9.18e-02    1.32e-01    1.7e-06
5915600      2.66e-01    1.61e-01      4.39e-03    4.24e-03      1.25e-01    7.35e-02    1.7e-06
5915700      2.77e-01    2.37e-01      6.32e-03    1.06e-02      1.27e-01    1.08e-01    1.7e-06
5915800      1.49e-01    1.86e-01      1.43e-03    1.11e-02      7.00e-02    8.11e-02    1.7e-06
5915900      8.00e-02    2.93e-01      6.55e-05    1.37e-02      3.77e-02    1.30e-01    1.7e-06
5916000      3.42e-01    1.56e-01      4.69e-03    5.18e-03      1.61e-01    7.14e-02    1.7e-06
5916100      1.67e-01    2.92e-01      1.17e-03    6.09e-03      7.86e-02    1.36e-01    1.7e-06
5916200      3.58e-01    1.03e-01      5.56e-03    3.41e-03      1.67e-01    4.52e-02    1.7e-06
5916300      1.48e-01    2.17e-01      1.10e-03    2.21e-03      6.98e-02    1.02e-01    1.7e-06
5916400      8.96e-02    1.54e-01      3.09e-03    1.03e-02      4.15e-02    6.81e-02    1.7e-06
5916500      1.78e-01    3.06e-01      1.01e-03    5.28e-03      8.38e-02    1.42e-01    1.7e-06
5916600      1.63e-01    2.23e-01      1.28e-03    1.40e-02      7.67e-02    9.66e-02    1.7e-06
5916700      1.11e-01    2.38e-01      3.92e-03    1.27e-03      5.07e-02    1.12e-01    1.7e-06
5916800      4.05e-01    1.70e-01      7.48e-03    6.80e-03      1.90e-01    7.72e-02    1.7e-06
5916900      2.09e-01    2.32e-01      5.26e-04    2.84e-03      9.85e-02    1.09e-01    1.7e-06
5917000      1.58e-01    1.43e-01      1.25e-03    6.14e-03      7.43e-02    6.54e-02    1.7e-06
5917100      2.02e-01    2.12e-01      2.93e-02    4.17e-03      5.47e-02    9.92e-02    1.7e-06
5917200      1.71e-01    1.67e-01      2.02e-02    6.01e-03      5.45e-02    7.61e-02    1.7e-06
5917300      1.74e-01    2.33e-01      1.38e-03    6.54e-03      8.16e-02    1.07e-01    1.7e-06
5917400      2.59e-01    1.79e-01      1.02e-02    6.11e-03      1.16e-01    7.89e-02    1.7e-06
5917500      2.52e-01    1.65e-01      9.75e-03    5.47e-03      1.12e-01    7.58e-02    1.7e-06
5917600      2.33e-01    2.63e-01      2.54e-03    6.40e-03      1.09e-01    1.22e-01    1.7e-06
5917700      2.35e-01    5.02e-01      9.41e-04    3.52e-02      1.11e-01    7.51e-02    1.7e-06
5917800      2.42e-01    2.34e-01      2.55e-03    1.14e-02      1.14e-01    1.07e-01    1.7e-06
5917900      1.52e-01    2.94e-01      3.21e-03    4.50e-03      7.06e-02    1.37e-01    1.7e-06
5918000      1.86e-01    1.44e-01      1.35e-03    4.95e-03      8.78e-02    6.58e-02    1.7e-06
5918100      2.70e-01    2.32e-01      9.57e-03    5.18e-03      1.18e-01    1.08e-01    1.7e-06
5918200      3.20e-01    2.19e-01      2.90e-03    4.20e-03      1.50e-01    1.01e-01    1.7e-06
5918300      9.74e-02    1.95e-01      7.21e-04    4.29e-03      4.58e-02    8.73e-02    1.7e-06
5918400      1.36e-01    2.32e-01      3.01e-03    2.82e-03      6.33e-02    1.09e-01    1.7e-06
5918500      1.15e-01    3.82e-01      7.08e-04    4.04e-02      5.39e-02    1.36e-01    1.7e-06
5918600      4.55e-01    1.08e-01      1.87e-02    1.30e-02      1.81e-01    4.37e-02    1.7e-06
5918700      2.71e-01    1.37e-01      1.36e-03    1.68e-03      1.28e-01    6.39e-02    1.7e-06
5918800      2.67e-01    2.11e-01      9.98e-03    8.64e-03      1.21e-01    9.81e-02    1.7e-06
5918900      1.94e-01    1.84e-01      6.61e-03    5.75e-03      9.04e-02    8.47e-02    1.7e-06
5919000      2.25e-01    3.69e-01      3.38e-05    9.59e-03      1.06e-01    1.71e-01    1.7e-06
5919100      3.71e-01    2.99e-01      1.16e-02    1.50e-02      1.70e-01    1.39e-01    1.7e-06
5919200      7.04e-02    1.78e-01      9.46e-03    6.53e-03      2.16e-02    7.95e-02    1.7e-06
5919300      1.80e-01    1.90e-01      3.80e-03    5.85e-03      8.38e-02    8.76e-02    1.7e-06
5919400      3.52e-01    4.00e-01      1.23e-04    3.06e-02      1.66e-01    1.81e-01    1.7e-06
5919500      2.28e-01    2.86e-01      3.22e-03    1.40e-02      1.07e-01    1.28e-01    1.7e-06
5919600      1.59e-01    1.63e-01      4.65e-03    1.69e-03      7.33e-02    7.63e-02    1.7e-06
5919700      1.30e-01    1.37e-01      9.13e-05    6.25e-04      6.15e-02    6.44e-02    1.7e-06
5919800      2.02e-01    2.68e-01      3.15e-04    7.03e-03      9.53e-02    1.19e-01    1.7e-06
5919900      2.22e-01    1.20e-01      4.64e-03    9.05e-03      1.03e-01    5.06e-02    1.7e-06
5920000      2.96e-01    2.44e-01      2.93e-03    1.43e-03      1.39e-01    1.15e-01    1.7e-06
5920100      1.42e-01    2.41e-01      1.11e-03    4.98e-03      6.67e-02    1.09e-01    1.7e-06
5920200      2.27e-01    2.71e-01      8.32e-03    3.07e-02      1.05e-01    9.86e-02    1.7e-06
5920300      1.97e-01    8.75e-02      3.80e-03    7.64e-03      9.22e-02    3.85e-02    1.7e-06
5920400      2.68e-01    2.45e-01      1.30e-02    9.94e-03      1.19e-01    1.06e-01    1.7e-06
5920500      3.91e-01    1.46e-01      3.56e-03    3.61e-03      1.85e-01    6.79e-02    1.7e-06
5920600      1.55e-01    1.60e-01      9.89e-04    2.77e-03      7.32e-02    7.36e-02    1.7e-06
5920700      2.81e-01    2.59e-01      1.85e-02    8.32e-03      1.14e-01    1.19e-01    1.7e-06
5920800      1.39e-01    2.38e-01      7.14e-03    1.33e-02      5.61e-02    1.08e-01    1.7e-06
5920900      3.24e-01    1.92e-01      1.68e-02    4.27e-03      1.36e-01    8.97e-02    1.7e-06
5921000      1.26e-01    2.37e-01      5.13e-03    3.29e-03      5.73e-02    1.11e-01    1.7e-06
5921100      1.95e-01    1.15e-01      2.61e-03    9.36e-04      9.15e-02    5.41e-02    1.7e-06
5921200      1.87e-01    3.06e-01      1.25e-02    2.19e-02      7.69e-02    1.26e-01    1.7e-06
5921300      4.80e-01    5.26e-01      1.30e-02    5.14e-02      2.23e-01    1.70e-01    1.7e-06
5921400      4.05e-01    2.38e-01      8.89e-03    5.07e-03      1.89e-01    1.11e-01    1.7e-06
5921500      1.69e-01    2.00e-01      1.35e-03    3.40e-03      7.95e-02    9.39e-02    1.7e-06
5921600      2.20e-01    1.75e-01      8.23e-03    3.51e-03      1.01e-01    8.20e-02    1.7e-06
5921700      2.50e-01    3.55e-01      6.44e-03    9.20e-03      1.18e-01    1.64e-01    1.7e-06
5921800      2.88e-01    2.81e-01      5.65e-04    1.60e-02      1.36e-01    1.23e-01    1.7e-06
5921900      1.55e-01    2.03e-01      1.40e-03    1.00e-02      7.33e-02    7.53e-02    1.7e-06
5922000      2.45e-01    3.02e-01      6.11e-03    3.52e-03      1.14e-01    1.42e-01    1.7e-06
5922100      1.92e-01    3.33e-01      7.40e-03    7.89e-03      8.83e-02    1.55e-01    1.7e-06
5922200      2.23e-01    2.11e-01      7.52e-05    1.43e-02      1.05e-01    5.42e-02    1.7e-06
5922300      1.51e-01    2.12e-01      2.98e-03    4.92e-03      7.09e-02    9.81e-02    1.7e-06
5922400      3.70e-01    4.30e-01      2.58e-02    4.34e-02      8.90e-02    1.41e-01    1.7e-06
5922500      1.10e-01    3.04e-01      9.12e-03    9.10e-03      4.76e-02    1.40e-01    1.7e-06
5922600      1.92e-01    2.44e-01      5.66e-03    5.65e-03      8.63e-02    1.14e-01    1.7e-06
5922700      2.10e-01    2.15e-01      3.90e-03    6.91e-03      9.72e-02    1.01e-01    1.7e-06
5922800      3.71e-01    1.74e-01      3.48e-03    2.03e-03      1.75e-01    8.15e-02    1.7e-06
5922900      1.07e-01    2.54e-01      1.36e-03    1.84e-02      5.06e-02    1.15e-01    1.7e-06
5923000      3.41e-01    2.59e-01      3.26e-03    3.37e-03      1.61e-01    1.22e-01    1.7e-06
5923100      1.28e-01    7.75e-01      1.01e-03    1.36e-01      6.04e-02    5.23e-02    1.7e-06
5923200      1.47e-01    1.81e-01      2.12e-03    5.16e-03      6.87e-02    8.48e-02    1.7e-06
5923300      1.58e-01    1.61e-01      1.48e-03    1.66e-02      7.44e-02    6.83e-02    1.7e-06
5923400      3.56e-01    2.14e-01      4.86e-03    3.93e-03      1.67e-01    9.93e-02    1.7e-06
5923500      1.16e-01    2.20e-01      3.47e-03    5.39e-03      5.37e-02    1.01e-01    1.7e-06
5923600      1.62e-01    2.16e-01      7.88e-03    9.39e-03      6.93e-02    1.01e-01    1.7e-06
5923700      1.96e-01    3.33e-01      4.91e-04    1.07e-02      9.25e-02    1.51e-01    1.7e-06
5923800      1.72e-01    2.95e-01      9.80e-03    8.42e-03      7.45e-02    1.36e-01    1.7e-06
5923900      2.93e-01    2.01e-01      2.24e-03    1.28e-02      1.38e-01    8.93e-02    1.7e-06
5924000      1.38e-01    2.67e-01      5.00e-03    1.69e-02      6.09e-02    1.06e-01    1.7e-06
5924100      2.66e-01    3.11e-01      1.74e-02    1.33e-02      1.21e-01    1.37e-01    1.7e-06
5924200      1.00e-01    2.65e-01      4.83e-04    1.03e-02      4.73e-02    1.21e-01    1.7e-06
5924300      4.55e-01    2.06e-01      7.93e-03    3.76e-03      2.12e-01    9.62e-02    1.7e-06
5924400      3.00e-01    2.03e-01      9.71e-03    2.90e-03      1.38e-01    9.47e-02    1.7e-06
5924500      2.14e-01    2.52e-01      1.34e-03    9.34e-03      1.01e-01    1.15e-01    1.7e-06
5924600      2.87e-01    2.08e-01      8.27e-04    1.11e-03      1.36e-01    9.82e-02    1.7e-06
5924700      1.30e-01    2.69e-01      2.06e-03    1.51e-02      6.02e-02    1.17e-01    1.7e-06
5924800      1.70e-01    2.41e-01      2.30e-03    8.86e-03      7.92e-02    1.11e-01    1.7e-06
5924900      3.13e-01    2.86e-01      3.37e-02    3.28e-03      1.31e-01    1.35e-01    1.7e-06
5925000      2.25e-01    2.04e-01      1.33e-03    4.13e-03      1.07e-01    9.57e-02    1.7e-06
5925100      1.83e-01    1.73e-01      1.13e-02    6.36e-03      8.18e-02    8.06e-02    1.7e-06
5925200      2.35e-01    2.32e-01      6.36e-03    9.73e-03      1.09e-01    1.00e-01    1.7e-06
5925300      3.48e-01    2.06e-01      2.21e-02    8.96e-03      1.45e-01    9.29e-02    1.7e-06
5925400      1.76e-01    2.34e-01      1.53e-04    8.89e-03      8.34e-02    9.68e-02    1.7e-06
5925500      1.92e-01    2.11e-01      5.62e-03    7.16e-03      8.78e-02    9.79e-02    1.7e-06
5925600      2.02e-01    1.46e-01      6.28e-04    3.47e-03      9.56e-02    6.69e-02    1.7e-06
5925700      2.03e-01    2.35e-01      2.26e-02    2.21e-03      6.36e-02    1.10e-01    1.7e-06
5925800      2.41e-01    1.31e-01      1.67e-02    5.02e-03      6.06e-02    5.97e-02    1.7e-06
5925900      3.27e-01    2.86e-01      1.69e-02    3.48e-02      1.43e-01    9.86e-02    1.7e-06
5926000      1.42e-01    2.81e-01      4.05e-03    7.16e-03      6.40e-02    1.30e-01    1.7e-06
5926100      1.97e-01    1.62e-01      5.41e-03    3.17e-03      9.17e-02    7.53e-02    1.7e-06
5926200      1.33e-01    1.84e-01      4.03e-03    5.92e-03      6.00e-02    8.47e-02    1.7e-06
5926300      2.00e-01    1.94e-01      9.22e-03    4.20e-03      9.07e-02    9.03e-02    1.7e-06
5926400      1.63e-01    1.57e-01      5.51e-04    2.47e-03      7.70e-02    7.35e-02    1.7e-06
5926500      7.56e-02    1.31e-01      7.32e-03    2.79e-03      3.10e-02    6.11e-02    1.7e-06
5926600      3.18e-01    2.36e-01      1.06e-06    5.68e-03      1.51e-01    1.08e-01    1.7e-06
5926700      2.45e-01    2.21e-01      9.54e-03    5.89e-03      1.13e-01    1.01e-01    1.7e-06
5926800      2.59e-01    2.91e-01      1.75e-02    1.05e-02      8.98e-02    1.34e-01    1.7e-06
5926900      7.49e-02    1.60e-01      1.10e-03    3.06e-03      3.52e-02    7.52e-02    1.7e-06
5927000      1.92e-01    2.29e-01      1.53e-03    8.40e-03      9.08e-02    1.03e-01    1.7e-06
5927100      3.03e-01    1.70e-01      1.79e-02    9.25e-03      1.31e-01    7.63e-02    1.7e-06
5927200      1.17e-01    3.11e-01      2.61e-03    1.11e-02      5.40e-02    1.42e-01    1.7e-06
5927300      1.96e-01    2.51e-01      2.60e-03    3.23e-03      9.22e-02    1.18e-01    1.7e-06
5927400      2.24e-01    2.47e-01      9.24e-03    5.16e-03      1.01e-01    1.15e-01    1.7e-06
5927500      1.66e-01    1.90e-01      5.31e-03    5.35e-03      7.68e-02    8.81e-02    1.7e-06
5927600      3.59e-01    1.70e-01      9.65e-04    3.59e-03      1.70e-01    7.89e-02    1.7e-06
5927700      1.54e-01    2.30e-01      2.79e-04    7.53e-03      7.28e-02    1.04e-01    1.7e-06
5927800      1.09e-01    1.74e-01      4.40e-04    1.48e-03      5.17e-02    8.22e-02    1.7e-06
5927900      1.38e-01    1.69e-01      6.85e-03    4.10e-03      5.62e-02    7.92e-02    1.7e-06
5928000      2.31e-01    3.46e-01      3.08e-03    8.35e-03      1.09e-01    1.60e-01    1.7e-06
5928100      1.45e-01    2.25e-01      8.75e-04    1.04e-02      6.85e-02    1.04e-01    1.7e-06
5928200      4.13e-01    3.27e-01      5.13e-03    1.77e-02      1.95e-01    1.42e-01    1.7e-06
5928300      1.99e-01    3.65e-01      6.01e-04    2.91e-02      9.41e-02    1.66e-01    1.7e-06
5928400      1.34e-01    2.30e-01      4.78e-05    2.71e-03      6.36e-02    1.08e-01    1.7e-06
5928500      3.05e-01    2.86e-01      2.77e-03    8.64e-03      1.44e-01    1.32e-01    1.7e-06
5928600      1.55e-01    3.50e-01      2.07e-04    4.52e-03      7.34e-02    1.65e-01    1.7e-06
5928700      2.00e-01    1.88e-01      2.64e-03    3.51e-03      9.36e-02    8.81e-02    1.7e-06
5928800      3.16e-01    1.83e-01      1.35e-03    1.16e-02      1.50e-01    8.18e-02    1.7e-06
5928900      1.67e-01    1.53e-01      7.89e-04    1.36e-02      7.89e-02    6.77e-02    1.7e-06
5929000      1.28e-01    2.15e-01      1.68e-03    2.18e-02      6.04e-02    8.12e-02    1.7e-06
5929100      6.07e-02    2.34e-01      5.50e-03    1.29e-02      2.54e-02    1.02e-01    1.7e-06
5929200      1.89e-01    3.23e-01      2.29e-03    6.43e-03      8.92e-02    1.51e-01    1.7e-06
5929300      1.85e-01    1.13e-01      4.05e-03    4.33e-03      8.55e-02    4.94e-02    1.7e-06
5929400      1.89e-01    2.57e-01      1.75e-03    1.75e-02      8.92e-02    1.10e-01    1.7e-06
5929500      1.76e-01    2.28e-01      4.24e-03    5.33e-03      8.09e-02    1.07e-01    1.7e-06
5929600      2.16e-01    1.95e-01      2.94e-03    3.37e-03      1.01e-01    9.09e-02    1.7e-06
5929700      1.48e-01    2.77e-01      6.27e-04    1.25e-02      7.00e-02    1.26e-01    1.7e-06
5929800      1.25e-01    3.08e-01      5.57e-04    1.08e-02      5.92e-02    1.43e-01    1.7e-06
5929900      1.85e-01    2.90e-01      2.52e-03    2.80e-03      8.72e-02    1.37e-01    1.7e-06
5930000      3.02e-01    1.93e-01      1.98e-02    8.99e-03      1.24e-01    8.31e-02    1.7e-06
5930100      4.97e-02    2.39e-01      2.78e-03    2.35e-03      2.15e-02    1.13e-01    1.7e-06
5930200      1.39e-01    2.54e-01      2.14e-03    3.12e-03      6.59e-02    1.20e-01    1.7e-06
5930300      1.46e-01    1.44e-01      6.74e-03    2.21e-03      6.70e-02    6.77e-02    1.7e-06
5930400      1.62e-01    5.17e-01      6.62e-03    3.30e-02      7.05e-02    1.97e-01    1.7e-06
5930500      3.17e-01    1.45e-01      6.59e-03    1.63e-03      1.48e-01    6.81e-02    1.7e-06
5930600      3.33e-01    2.59e-01      3.59e-03    3.10e-03      1.58e-01    1.22e-01    1.7e-06
5930700      2.46e-01    2.47e-01      1.40e-02    4.76e-03      1.10e-01    1.16e-01    1.7e-06
5930800      1.73e-01    3.43e-01      1.93e-03    1.66e-02      8.16e-02    1.60e-01    1.7e-06
5930900      2.42e-01    2.40e-01      4.28e-03    1.34e-02      1.13e-01    1.05e-01    1.7e-06
5931000      1.17e-01    3.09e-01      1.34e-02    2.62e-02      4.62e-02    1.22e-01    1.7e-06
5931100      2.49e-01    2.29e-01      9.05e-03    4.00e-03      1.16e-01    1.07e-01    1.7e-06
5931200      2.23e-01    2.06e-01      4.32e-03    1.67e-03      1.05e-01    9.76e-02    1.7e-06
5931300      1.89e-01    2.48e-01      7.76e-03    7.26e-03      8.72e-02    1.16e-01    1.7e-06
5931400      1.85e-01    2.49e-01      9.35e-03    1.14e-02      8.50e-02    1.15e-01    1.7e-06
5931500      4.25e-01    2.48e-01      2.19e-02    5.10e-03      1.84e-01    1.17e-01    1.7e-06
5931600      1.68e-01    1.10e-01      2.71e-03    1.76e-03      7.94e-02    5.12e-02    1.7e-06
5931700      2.18e-01    1.22e-01      1.68e-03    2.04e-03      1.03e-01    5.73e-02    1.7e-06
5931800      1.74e-01    1.46e-01      6.02e-03    5.34e-03      8.00e-02    6.38e-02    1.7e-06
5931900      1.46e-01    1.80e-01      2.41e-03    6.58e-03      6.90e-02    8.36e-02    1.7e-06
5932000      2.73e-01    1.76e-01      1.94e-02    4.26e-03      8.91e-02    8.08e-02    1.7e-06
5932100      1.19e-01    1.84e-01      2.31e-03    1.74e-03      5.61e-02    8.67e-02    1.7e-06
5932200      1.19e-01    1.98e-01      2.27e-03    3.93e-03      5.59e-02    9.08e-02    1.7e-06
5932300      1.71e-01    2.20e-01      6.68e-03    2.20e-02      7.80e-02    7.97e-02    1.7e-06
5932400      1.44e-01    1.81e-01      3.99e-03    2.50e-03      6.56e-02    8.54e-02    1.7e-06
5932500      2.47e-01    2.23e-01      2.01e-02    5.53e-03      1.10e-01    1.04e-01    1.7e-06
5932600      2.56e-01    2.24e-01      4.71e-03    3.43e-03      1.19e-01    1.05e-01    1.7e-06
5932700      1.90e-01    1.75e-01      6.84e-03    8.89e-03      8.30e-02    7.77e-02    1.7e-06
5932800      1.68e-01    2.02e-01      5.99e-03    1.22e-03      7.12e-02    9.57e-02    1.7e-06
5932900      1.65e-01    2.46e-01      2.62e-03    4.54e-03      7.81e-02    1.15e-01    1.7e-06
5933000      2.15e-01    1.69e-01      2.18e-03    2.73e-03      1.02e-01    7.96e-02    1.7e-06
5933100      2.17e-01    1.83e-01      5.38e-03    2.02e-02      1.01e-01    6.47e-02    1.7e-06
5933200      2.89e-01    4.28e-01      1.49e-03    4.99e-02      1.37e-01    1.45e-01    1.7e-06
5933300      2.70e-01    1.60e-01      4.49e-03    3.10e-03      1.28e-01    7.54e-02    1.7e-06
5933400      2.65e-01    2.22e-01      1.19e-03    1.58e-03      1.26e-01    1.05e-01    1.7e-06
5933500      7.92e-02    1.80e-01      3.96e-03    1.01e-02      3.28e-02    8.12e-02    1.7e-06
5933600      2.12e-01    1.57e-01      2.74e-03    6.74e-03      9.96e-02    7.10e-02    1.7e-06
5933700      1.12e-01    1.82e-01      7.21e-04    9.27e-03      5.29e-02    8.33e-02    1.7e-06
5933800      2.19e-01    1.73e-01      2.47e-03    4.68e-03      1.03e-01    7.88e-02    1.7e-06
5933900      2.08e-01    2.20e-01      1.70e-03    4.86e-03      9.87e-02    1.01e-01    1.7e-06
5934000      1.74e-01    1.46e-01      3.54e-04    1.43e-02      8.28e-02    5.94e-02    1.7e-06
5934100      1.69e-01    2.10e-01      5.86e-03    7.56e-03      7.76e-02    9.25e-02    1.7e-06
5934200      1.98e-01    2.19e-01      6.67e-03    3.61e-03      8.35e-02    1.04e-01    1.7e-06
5934300      3.61e-01    2.71e-01      1.99e-03    6.00e-03      1.71e-01    1.27e-01    1.7e-06
5934400      3.50e-01    2.27e-01      1.03e-02    6.26e-03      1.62e-01    1.04e-01    1.7e-06
5934500      1.60e-01    3.59e-01      6.88e-03    1.33e-02      7.23e-02    1.59e-01    1.7e-06
5934600      2.74e-01    3.90e-01      1.81e-02    4.12e-02      1.18e-01    1.31e-01    1.7e-06
5934700      1.69e-01    1.84e-01      4.99e-03    1.46e-02      7.63e-02    8.18e-02    1.7e-06
5934800      2.10e-01    2.52e-01      2.49e-03    1.61e-02      9.93e-02    7.23e-02    1.7e-06
5934900      1.89e-01    2.13e-01      4.03e-03    4.03e-03      8.73e-02    9.96e-02    1.7e-06
5935000      1.10e-01    3.30e-01      5.59e-03    7.43e-03      4.79e-02    1.54e-01    1.7e-06
5935100      2.18e-01    1.89e-01      5.61e-03    5.84e-03      1.02e-01    8.84e-02    1.7e-06
5935200      2.22e-02    1.76e-01      8.22e-04    1.19e-02      1.04e-02    7.89e-02    1.7e-06
5935300      8.75e-02    1.75e-01      2.51e-03    6.39e-03      4.07e-02    7.87e-02    1.7e-06
5935400      1.46e-01    2.80e-01      3.33e-03    2.20e-02      6.87e-02    1.16e-01    1.7e-06
5935500      1.34e-01    1.88e-01      3.89e-03    5.56e-03      6.10e-02    8.50e-02    1.7e-06
5935600      1.09e-01    1.70e-01      3.70e-04    7.24e-03      5.19e-02    7.67e-02    1.7e-06
5935700      1.42e-01    2.11e-01      2.74e-04    2.13e-03      6.76e-02    9.96e-02    1.7e-06
5935800      1.74e-01    1.69e-01      1.09e-03    7.51e-03      8.26e-02    7.82e-02    1.7e-06
5935900      3.78e-01    1.86e-01      7.48e-03    1.99e-02      1.76e-01    7.89e-02    1.7e-06
5936000      3.10e-01    1.80e-01      2.11e-03    3.57e-03      1.47e-01    8.39e-02    1.7e-06
5936100      2.00e-01    6.53e-01      5.85e-03    5.36e-02      9.31e-02    2.23e-01    1.7e-06
5936200      2.69e-01    1.25e-01      1.29e-04    3.99e-03      1.28e-01    5.86e-02    1.7e-06
5936300      2.76e-01    1.46e-01      1.83e-02    1.25e-02      1.27e-01    6.49e-02    1.7e-06
5936400      1.68e-01    3.15e-01      1.61e-02    9.64e-03      7.24e-02    1.46e-01    1.7e-06
5936500      1.33e-01    2.62e-01      3.45e-03    7.03e-03      6.23e-02    1.24e-01    1.7e-06
5936600      2.46e-01    1.66e-01      4.12e-03    5.45e-03      1.16e-01    7.44e-02    1.7e-06
